bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103316,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103317,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103318,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103319,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103320,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103321,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103422,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103423,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103424,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103425,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103426,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103427,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103428,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103529,1035
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103530,1035
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103531,1035
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204101,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204102,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204103,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204104,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204105,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204106,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204107,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204208,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204209,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204210,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204211,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204212,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204213,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204214,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204315,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204316,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204317,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204318,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204319,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204320,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204321,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204422,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204423,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204424,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204425,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204426,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204427,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204428,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204529,2045
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204530,2045
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205101,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205102,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205103,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205104,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205105,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205106,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205107,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205208,2052
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205209,2052
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205210,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205211,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205212,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205213,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205214,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205315,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205316,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205317,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205318,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205319,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205320,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205321,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205422,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205423,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205424,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205425,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205426,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205427,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205428,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205529,2055
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205530,2055
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205531,2055
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206101,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206102,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206103,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206104,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206105,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206106,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206107,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206208,2062
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206209,2062
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206210,2062
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206211,2062
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206212,2062
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206213,2062
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206214,2062
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206315,2063
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206316,2063
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206317,2063
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206318,2063
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206319,2063
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206320,2063
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206321,2063
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206422,2064
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206423,2064
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206424,2064
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206425,2064
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206426,2064
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206427,2064
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206428,2064
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206529,2065
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206530,2065
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307101,3071
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307102,3071
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307103,3071
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307104,3071
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307105,3071
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307106,3071
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307107,3071
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307208,3072
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307209,3072
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307210,3072
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307211,3072
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307212,3072
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307213,3072
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307214,3072
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307315,3073
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307316,3073
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307317,3073
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307318,3073
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307319,3073
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307320,3073
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307321,3073
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307422,3074
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307423,3074
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307424,3074
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307425,3074
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307426,3074
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307427,3074
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307428,3074
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307529,3075
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307530,3075
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307531,3075
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308101,3081
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308102,3081
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308103,3081
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308104,3081
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308105,3081
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308106,3081
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308107,3081
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308208,3082
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308209,3082
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308210,3082
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308211,3082
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308212,3082
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308213,3082
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308214,3082
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308315,3083
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308316,3083
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308317,3083
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308318,3083
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308319,3083
20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,308320,3083
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308321,3083
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308422,3084
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308423,3084
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308424,3084
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308425,3084
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308426,3084
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308427,3084
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308428,3084
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308529,3085
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308530,3085
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,308531,3085
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309101,3091
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309102,3091
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309103,3091
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309104,3091
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309105,3091
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309106,3091
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309107,3091
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309208,3092
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309209,3092
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309210,3092
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309211,3092
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309212,3092
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309213,3092
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309214,3092
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309315,3093
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309316,3093
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309317,3093
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309318,3093
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309319,3093
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309320,3093
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309321,3093
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309422,3094
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309423,3094
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309424,3094
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309425,3094
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309426,3094
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309427,3094
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309428,3094
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309529,3095
20001,200027,3,Q3,3/2000,Q3 2000,20003,2000,309530,3095
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410101,4101
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410102,4101
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410103,4101
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410104,4101
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410105,4101
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410106,4101
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410107,4101
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410208,4102
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410209,4102
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410210,4102
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410211,4102
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410212,4102
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410213,4102
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410214,4102
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410315,4103
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410316,4103
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410317,4103
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410318,4103
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410319,4103
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410320,4103
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410321,4103
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410422,4104
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410423,4104
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410424,4104
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410425,4104
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410426,4104
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410427,4104
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410428,4104
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410529,4105
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410530,4105
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,410531,4105
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411101,4111
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411102,4111
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411103,4111
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411104,4111
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411105,4111
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411106,4111
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411107,4111
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411208,4112
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411209,4112
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411210,4112
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411211,4112
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411212,4112
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411213,4112
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411214,4112
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411315,4113
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411316,4113
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411317,4113
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411318,4113
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411319,4113
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411320,4113
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411321,4113
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411422,4114
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411423,4114
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411424,4114
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411425,4114
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411426,4114
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411427,4114
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411428,4114
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411529,4115
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,411530,4115
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412101,4121
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412102,4121
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412103,4121
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412104,4121
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412105,4121
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412106,4121
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412107,4121
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412208,4122
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412209,4122
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412210,4122
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412211,4122
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412212,4122
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412213,4122
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412214,4122
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412315,4123
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412316,4123
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412317,4123
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412318,4123
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412319,4123
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412320,4123
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412321,4123
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412422,4124
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412423,4124
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412424,4124
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412425,4124
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412426,4124
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412427,4124
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412428,4124
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412529,4125
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412530,4125
20001,200027,4,Q4,4/2000,Q4 2000,20004,2000,412531,4125
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101101,1011
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101102,1011
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101103,1011
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101104,1011
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101105,1011
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101106,1011
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101107,1011
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101208,1012
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101209,1012
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101210,1012
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101211,1012
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101212,1012
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101213,1012
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101214,1012
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101315,1013
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101316,1013
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101317,1013
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101318,1013
20012,200157,1,Q1,1/2001,Q1 2001,20011,2001,101319,1013
